,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
280,Nokaneng,BW,-19.6667,22.2667,85.84,10,0,10.04,clear sky
281,Sola,VU,-13.8833,167.55,78.55,77,76,18.77,broken clouds
282,Alta Floresta,BR,-9.8756,-56.0861,89.42,33,0,11.5,clear sky
283,Conde,BR,-7.2597,-34.9075,76.46,83,75,17.27,broken clouds
284,Dawlatabad,AF,36.4141,64.9053,94.57,11,0,6.89,clear sky
285,Alcantara,BR,-2.4089,-44.4147,84.4,55,21,6.11,few clouds
286,Anqiu,CN,36.4342,119.1925,74.59,86,43,1.03,light rain
287,Myra,IT,45.4358,12.1348,88.14,57,0,9.22,clear sky
288,Kavaratti,IN,10.5669,72.642,82.11,79,100,19.28,overcast clouds
289,Filingue,NE,14.3521,3.3168,100.13,31,38,11.97,scattered clouds
290,Flinders,AU,-34.5833,150.8552,54.21,74,99,1.99,overcast clouds
291,Sapa,PH,5.1544,120.3241,83.25,76,99,7.65,overcast clouds
292,Anadyr,RU,64.75,177.4833,39.7,87,20,4.47,few clouds
293,Fortuna,US,40.5982,-124.1573,59.86,75,90,0.0,overcast clouds
294,Chunhuhub,MX,19.55,-88.6833,87.22,59,13,5.91,few clouds
295,Saint-Pierre,RE,-21.3393,55.4781,71.28,72,90,3.44,overcast clouds
296,Victor Harbor,AU,-35.5667,138.6167,53.47,81,61,3.27,broken clouds
297,Gornyy,RU,55.1153,83.9059,62.4,90,61,3.89,broken clouds
298,Simbahan,PH,6.3032,120.5836,83.97,75,83,9.86,broken clouds
299,Terrace,CA,54.5163,-128.6035,55.31,100,75,3.44,mist
300,Winona,US,43.9666,-91.7668,68.63,85,90,9.22,light rain
301,Kuala Terengganu,MY,5.3302,103.1408,84.15,84,20,2.3,few clouds
302,Koygorodok,RU,60.445,50.9968,64.87,52,100,4.52,overcast clouds
303,Parangan,PH,5.0839,119.9383,83.75,75,98,9.31,overcast clouds
304,Umm Kaddadah,SD,13.6017,26.6876,85.39,45,83,12.01,broken clouds
305,Beysehir,TR,37.6773,31.7246,67.14,62,77,4.45,light rain
306,Okha,RU,53.5739,142.9478,52.02,86,24,11.88,few clouds
307,Lompoc,US,34.6391,-120.4579,62.92,92,90,3.44,mist
308,Blois,FR,47.5833,1.3333,70.43,46,85,20.85,light rain
309,Lumberton,US,34.6182,-79.0086,81.93,89,100,4.38,overcast clouds
310,Georgetown,MY,5.4112,100.3354,85.95,77,20,3.44,few clouds
311,Whitehorse,CA,60.7161,-135.0538,54.37,94,75,4.61,broken clouds
312,Port Macquarie,AU,-31.4333,152.9167,49.96,100,11,3.44,few clouds
313,Salaga,GH,8.5508,-0.5188,85.66,54,99,7.07,overcast clouds
314,Bonnyville,CA,54.2668,-110.735,61.92,57,100,3.04,overcast clouds
315,Marsh Harbour,BS,26.5412,-77.0636,84.15,70,7,11.74,clear sky
316,Barmer,IN,25.75,71.3833,92.7,41,15,15.46,few clouds
317,Kenai,US,60.5544,-151.2583,49.14,98,40,3.44,scattered clouds
318,Rio Branco,BR,-9.9747,-67.81,79.41,69,0,2.3,clear sky
319,Marsa Matruh,EG,31.3525,27.2453,86.2,62,20,23.02,few clouds
320,Maku,IR,39.2911,44.4521,75.49,50,99,5.35,overcast clouds
321,Orotukan,RU,62.2667,151.7,48.61,87,73,1.88,broken clouds
322,Tiarei,PF,-17.5333,-149.3333,71.62,76,23,6.08,few clouds
323,Coruripe,BR,-10.1256,-36.1756,78.28,58,16,14.58,few clouds
324,Misratah,LY,32.3754,15.0925,87.69,59,0,15.77,clear sky
325,Chalus,IR,36.655,51.4204,85.46,70,20,6.91,few clouds
326,Yanaul,RU,56.2719,54.9309,69.06,49,90,8.21,overcast clouds
327,Torbat-E Jam,IR,35.244,60.6225,89.4,14,0,15.9,clear sky
328,Sabancuy,MX,18.9667,-91.1833,85.05,64,44,8.43,scattered clouds
329,Dzaoudzi,YT,-12.7887,45.2699,76.89,73,0,5.75,clear sky
330,Malanje,AO,-9.5402,16.341,87.87,8,26,4.97,scattered clouds
331,Manavalakurichi,IN,8.1333,77.3,78.89,84,100,17.98,moderate rain
332,Acarau,BR,-2.8856,-40.12,89.92,44,10,15.37,clear sky
333,Klaksvik,FO,62.2266,-6.589,68.92,89,100,20.38,overcast clouds
334,Grindavik,IS,63.8424,-22.4338,59.47,67,75,4.61,broken clouds
335,Karasjok,NO,69.4719,25.5112,75.31,41,49,12.55,scattered clouds
336,Dauriya,RU,49.9333,116.8667,70.66,54,27,21.45,scattered clouds
337,Talnakh,RU,69.4865,88.3972,66.34,47,83,5.03,broken clouds
338,Henties Bay,NA,-22.116,14.2845,59.86,60,2,10.13,clear sky
339,Zeya,RU,53.75,127.2667,58.68,89,100,4.25,overcast clouds
340,Elliot,ZA,-31.3333,27.85,60.3,14,13,5.46,few clouds
341,Cascais,PT,38.6979,-9.4215,78.66,51,20,11.01,few clouds
